amp_id,species,mic_ug_per_ml,n_measurements
61,escherichia coli,2.4,1
61,pseudomonas aeruginosa,23.5,1
61,staphylococcus aureus,9.6,1
62,escherichia coli,37.5,1
62,pseudomonas aeruginosa,75.0,1
62,staphylococcus aureus,75.0,1
63,escherichia coli,2.3,1
63,pseudomonas aeruginosa,18.0,1
63,staphylococcus aureus,18.0,1
64,escherichia coli,75.0,1
64,pseudomonas aeruginosa,75.0,1
64,staphylococcus aureus,75.0,1
65,escherichia coli,13.0,1
65,pseudomonas aeruginosa,13.0,1
65,staphylococcus aureus,13.0,1
66,escherichia coli,19.0,1
66,pseudomonas aeruginosa,19.0,1
66,staphylococcus aureus,76.0,1
67,escherichia coli,64.0,2
67,pseudomonas aeruginosa,64.0,1
67,staphylococcus aureus,64.0,1
68,escherichia coli,64.0,2
68,pseudomonas aeruginosa,64.0,1
68,staphylococcus aureus,64.0,1
69,escherichia coli,1.25,2
69,pseudomonas aeruginosa,2.0,1
69,staphylococcus aureus,2.0,1
70,escherichia coli,4.0,2
70,pseudomonas aeruginosa,1.0,1
70,staphylococcus aureus,8.0,1
71,escherichia coli,3.0,2
71,pseudomonas aeruginosa,0.5,1
71,staphylococcus aureus,4.0,1
72,staphylococcus aureus,12.0,2
73,staphylococcus aureus,5.0,2
74,staphylococcus aureus,1.5,2
75,staphylococcus aureus,2.0,2
76,escherichia coli,9.0,1
76,pseudomonas aeruginosa,125.0,1
76,bacillus subtilis,1.1,1
77,escherichia coli,3.5,1
77,pseudomonas aeruginosa,10.0,1
77,bacillus subtilis,0.5,1
78,escherichia coli,7.0,1
78,pseudomonas aeruginosa,10.0,1
78,bacillus subtilis,2.0,1
79,escherichia coli,80.0,1
79,pseudomonas aeruginosa,200.0,1
79,bacillus subtilis,100.0,1
82,staphylococcus aureus,40.0,2
82,escherichia coli,64.0,1
84,staphylococcus aureus,468.8,5
84,pseudomonas aeruginosa,101.58999999999999,6
84,escherichia coli,26.0,2
86,staphylococcus aureus,113.44000000000001,10
86,escherichia coli,46.2,8
86,pseudomonas aeruginosa,212.5,4
97,escherichia coli,17.966666666666665,3
97,pseudomonas aeruginosa,18.25,2
97,bacillus subtilis,8.0,1
97,staphylococcus aureus,15.5,2
97,staphylococcus epidermidis,8.0,1
101,escherichia coli,2.888888888888889,9
101,pseudomonas aeruginosa,7.363636363636363,11
101,staphylococcus aureus,80.0,4
101,staphylococcus epidermidis,32.0,1
102,escherichia coli,2.0,1
102,pseudomonas aeruginosa,3.8333333333333335,6
102,staphylococcus aureus,28.0,2
102,staphylococcus epidermidis,16.0,1
103,escherichia coli,4.125,2
103,pseudomonas aeruginosa,2.688333333333333,6
103,klebsiella pneumoniae,6.25,1
103,staphylococcus aureus,6.25,1
104,escherichia coli,2.0,2
104,pseudomonas aeruginosa,6.375,8
104,staphylococcus aureus,16.0,3
104,staphylococcus epidermidis,16.0,1
105,escherichia coli,2.0,1
105,pseudomonas aeruginosa,24.0,5
106,escherichia coli,2.0,1
106,pseudomonas aeruginosa,3.2,5
107,escherichia coli,4.0,1
107,pseudomonas aeruginosa,24.8,5
108,escherichia coli,2.0,1
108,pseudomonas aeruginosa,6.5,4
109,escherichia coli,2.0,1
109,pseudomonas aeruginosa,2.75,4
110,escherichia coli,1.0,1
110,pseudomonas aeruginosa,2.6,5
111,escherichia coli,3.0,1
111,pseudomonas aeruginosa,3.75,4
112,escherichia coli,5.0,1
112,pseudomonas aeruginosa,21.75,4
113,escherichia coli,2.0,1
113,pseudomonas aeruginosa,3.5,4
114,escherichia coli,2.0,1
114,pseudomonas aeruginosa,13.75,4
115,escherichia coli,4.0,1
115,pseudomonas aeruginosa,30.4,5
116,escherichia coli,2.0,1
116,pseudomonas aeruginosa,15.0,5
117,escherichia coli,2.0,2
117,pseudomonas aeruginosa,4.666666666666667,6
117,staphylococcus aureus,16.0,1
118,escherichia coli,64.0,1
118,pseudomonas aeruginosa,64.0,4
119,escherichia coli,64.0,1
119,pseudomonas aeruginosa,64.0,5
120,escherichia coli,8.0,1
120,pseudomonas aeruginosa,43.2,5
121,escherichia coli,3.0,2
121,pseudomonas aeruginosa,5.333333333333333,6
121,staphylococcus aureus,32.0,1
122,escherichia coli,32.0,1
122,pseudomonas aeruginosa,64.0,5
123,escherichia coli,11.0,1
123,pseudomonas aeruginosa,64.0,5
124,escherichia coli,64.0,1
124,pseudomonas aeruginosa,64.0,5
125,escherichia coli,10.0,1
125,pseudomonas aeruginosa,30.0,1
125,staphylococcus aureus,10.0,1
125,bacillus subtilis,20.0,1
126,escherichia coli,60.0,1
126,pseudomonas aeruginosa,150.0,1
126,staphylococcus aureus,40.0,1
126,bacillus subtilis,5.0,1
127,escherichia coli,6.0,1
127,pseudomonas aeruginosa,15.0,1
127,staphylococcus aureus,3.0,1
127,bacillus subtilis,6.0,1
128,escherichia coli,50.0,1
128,pseudomonas aeruginosa,200.0,1
128,staphylococcus aureus,200.0,1
128,bacillus subtilis,200.0,1
129,escherichia coli,50.0,1
129,pseudomonas aeruginosa,200.0,1
129,staphylococcus aureus,200.0,1
129,bacillus subtilis,200.0,1
130,escherichia coli,200.0,1
130,pseudomonas aeruginosa,200.0,1
130,staphylococcus aureus,200.0,1
130,bacillus subtilis,200.0,1
131,escherichia coli,200.0,1
131,pseudomonas aeruginosa,200.0,1
131,staphylococcus aureus,200.0,1
131,bacillus subtilis,200.0,1
132,escherichia coli,2.2125,4
132,klebsiella pneumoniae,2.5,2
132,pseudomonas aeruginosa,4.85,4
132,staphylococcus aureus,31.5,4
132,bacillus subtilis,2.0,1
132,staphylococcus epidermidis,10.0,1
138,staphylococcus aureus,134.5,1
138,escherichia coli,8.5,1
138,pseudomonas aeruginosa,33.5,1
138,klebsiella pneumoniae,17.0,1
143,staphylococcus aureus,269.0,1
143,escherichia coli,269.0,1
143,pseudomonas aeruginosa,269.0,1
143,klebsiella pneumoniae,269.0,1
151,staphylococcus aureus,269.0,1
151,escherichia coli,33.5,1
151,pseudomonas aeruginosa,134.5,1
151,klebsiella pneumoniae,67.0,1
164,pseudomonas aeruginosa,20.38095238095238,21
164,escherichia coli,1.5,2
164,bacillus subtilis,1.0933333333333335,3
164,staphylococcus aureus,39.8,20
164,staphylococcus epidermidis,1.0,1
165,pseudomonas aeruginosa,12.5,1
166,pseudomonas aeruginosa,3.125,1
167,pseudomonas aeruginosa,12.5,1
168,pseudomonas aeruginosa,12.5,1
169,pseudomonas aeruginosa,12.5,1
170,pseudomonas aeruginosa,12.5,1
171,pseudomonas aeruginosa,25.0,1
172,pseudomonas aeruginosa,50.0,1
173,pseudomonas aeruginosa,50.0,1
174,pseudomonas aeruginosa,50.0,1
175,pseudomonas aeruginosa,12.5,1
176,pseudomonas aeruginosa,12.5,1
177,pseudomonas aeruginosa,25.0,1
178,pseudomonas aeruginosa,50.0,1
179,pseudomonas aeruginosa,6.25,1
180,pseudomonas aeruginosa,50.0,1
181,pseudomonas aeruginosa,12.5,1
182,pseudomonas aeruginosa,25.0,1
183,pseudomonas aeruginosa,6.25,1
184,pseudomonas aeruginosa,6.25,1
185,staphylococcus aureus,18.75,2
185,bacillus subtilis,25.0,1
185,klebsiella pneumoniae,100.0,1
185,escherichia coli,100.0,1
185,pseudomonas aeruginosa,100.0,1
186,pseudomonas aeruginosa,35.0,2
186,escherichia coli,13.0,2
186,staphylococcus epidermidis,4.0,1
186,staphylococcus aureus,3.0,1
187,pseudomonas aeruginosa,4.3,2
187,escherichia coli,5.5,2
187,staphylococcus epidermidis,1.0,1
187,staphylococcus aureus,13.0,1
190,escherichia coli,28.6,5
190,pseudomonas aeruginosa,71.0,4
190,staphylococcus aureus,19.435714285714287,14
